id,user_id,workout_id,exercise_id,weight,reps,set_number,created_at
1655,1,343,1,90,7,1,2025-07-07 22:58:42+10
1656,1,343,1,95,6,1,2025-07-07 22:58:42+10
1657,1,343,1,95,5,1,2025-07-07 22:58:42+10
1658,1,343,1,95,5,1,2025-07-07 22:58:42+10
1659,1,344,1,100,5,1,2025-07-07 22:58:42+10
1660,1,344,1,100,5,1,2025-07-07 22:58:42+10
1661,1,344,1,100,5,1,2025-07-07 22:58:42+10
1662,1,344,1,100,5,1,2025-07-07 22:58:42+10
1663,1,454,1,105,5,1,2025-07-07 22:58:42+10
1664,1,454,1,105,5,1,2025-07-07 22:58:42+10
1665,1,454,1,107.5,5,1,2025-07-07 22:58:42+10
1666,1,454,1,107.5,5,1,2025-07-07 22:58:42+10
1667,1,372,1,110,5,1,2025-07-07 22:58:42+10
1668,1,372,1,110,5,1,2025-07-07 22:58:42+10
1669,1,372,1,112.5,5,1,2025-07-07 22:58:42+10
1670,1,372,1,112.5,5,1,2025-07-07 22:58:42+10
1671,1,580,1,100,5,1,2025-07-07 22:58:42+10
1672,1,580,1,110,5,1,2025-07-07 22:58:42+10
1673,1,580,1,110,5,1,2025-07-07 22:58:42+10
1674,1,580,1,115,5,1,2025-07-07 22:58:42+10
1675,1,345,1,110,5,1,2025-07-07 22:58:42+10
1676,1,345,1,110,5,1,2025-07-07 22:58:42+10
1677,1,345,1,115,5,1,2025-07-07 22:58:42+10
1678,1,345,1,115,5,1,2025-07-07 22:58:42+10
1679,1,346,1,110,5,1,2025-07-07 22:58:42+10
1680,1,346,1,120,3,1,2025-07-07 22:58:42+10
1681,1,346,1,120,4,1,2025-07-07 22:58:42+10
1682,1,346,1,120,5,1,2025-07-07 22:58:42+10
1683,1,347,1,100,5,1,2025-07-07 22:58:42+10
1684,1,347,1,120,5,1,2025-07-07 22:58:42+10
1685,1,347,1,120,5,1,2025-07-07 22:58:42+10
1686,1,348,1,2,5,1,2025-07-07 22:58:42+10
1687,1,348,1,110,5,1,2025-07-07 22:58:42+10
1688,1,349,1,100,5,1,2025-07-07 22:58:42+10
1689,1,349,1,120,5,1,2025-07-07 22:58:42+10
1690,1,349,1,130,3,1,2025-07-07 22:58:42+10
1691,1,349,1,122.5,3,1,2025-07-07 22:58:42+10
1692,1,350,1,110,5,1,2025-07-07 22:58:42+10
1693,1,350,1,125,5,1,2025-07-07 22:58:42+10
1694,1,350,1,125,5,1,2025-07-07 22:58:42+10
1695,1,350,1,125,5,1,2025-07-07 22:58:42+10
1696,1,351,1,115,3,1,2025-07-07 22:58:42+10
1697,1,351,1,135,3,1,2025-07-07 22:58:42+10
1698,1,352,1,120,5,1,2025-07-07 22:58:42+10
1699,1,352,1,130,5,1,2025-07-07 22:58:42+10
1700,1,352,1,130,5,1,2025-07-07 22:58:42+10
1701,1,352,1,130,1,1,2025-07-07 22:58:42+10
1702,1,353,1,130,3,1,2025-07-07 22:58:42+10
1703,1,353,1,135,4,1,2025-07-07 22:58:42+10
1704,1,354,1,120,1,1,2025-07-07 22:58:42+10
1705,1,354,1,140,4,1,2025-07-07 22:58:42+10
1706,1,354,1,110,5,1,2025-07-07 22:58:42+10
1707,1,355,1,130,5,1,2025-07-07 22:58:42+10
1708,1,355,1,135,6,1,2025-07-07 22:58:42+10
1709,1,355,1,110,5,1,2025-07-07 22:58:42+10
1710,1,355,1,110,7,1,2025-07-07 22:58:42+10
1711,1,356,1,100,5,1,2025-07-07 22:58:42+10
1712,1,356,1,140,5,1,2025-07-07 22:58:42+10
